"Heterogeneity-aware Gradient Coding for Straggler Tolerance","H. Wang; S. Guo; B. Tang; R. Li; C. Li","Huazhong University of Science and Technology; Huazhong University of Science and Technology; Nanjing University; Huazhong University of Science and Technology; Huazhong University of Science and Technology","2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS)","","2019","","","555","564","","","","10.1109/ICDCS.2019.00062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8885332","Modern distributed system, straggler tolerance, gradient coding, heterogeneity-aware","Encoding;Task analysis;Decoding;Computational modeling;Distributed databases;Machine learning algorithms;Optimization","cloud computing;gradient methods;image classification;image coding;learning (artificial intelligence);optimisation;pattern clustering;resource allocation","distributed computing;multiple workers;partial data;master node aggregates;straggler workers;coding-based approaches;straggler problem;computation capabilities;modern distributed systems;novel heterogeneity-aware gradient coding scheme;heterogenous workers;gradient descent based image classification;computation time;state-of-the-art coding scheme;straggler tolerance;gradient descent algorithms;machine learning","","","","","","","","IEEE","IEEE Conferences"
"A Tight Lower Bound for Relaxed Loop-Free Updates in SDNs","H. Zhou; X. Gao; J. Zheng; G. Chen","Shanghai Jiao Tong University; Shanghai Jiao Tong University; Nanjing University; Shanghai Jiao Tong University","2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS)","","2019","","","91","100","","","","10.1109/ICDCS.2019.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8885186","Relaxed Loop Freedom;Tight Lower Bound;Software Defined Networks","Schedules;Protocols;Transient analysis;Software;Acceleration;Routing;Delays","protocols;software defined networking;switching networks","SDNs;transient forwarding loop;Software Defined Networks;node-ordering protocol;loop-freedom - relaxed loop-freedom;relaxed loop-free constraint;relaxed loop-free update problem;fast relaxed loop-free update algorithm;tight lower bound","","","","","","","","IEEE","IEEE Conferences"
"Hermes: Improving Server Utilization by Colocation-Aware Runtime Systems","S. Liu; K. Li; H. Huang","Nanjing University; Nanjing University; Nanjing University","2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","","2019","","","901","910","","","","10.1109/HPCC/SmartCity/DSS.2019.00131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8855432","resource allocation, quality of service, scheduling","Runtime;Interference;Kernel;Servers;Instruction sets;Resource management;Schedules","Linux;multiprocessing systems;multi-threading;power aware computing;resource allocation;scheduling","Hermes;server utilization;colocation-aware runtime systems;latency-critical service;strict tail latency service-level objects;safe colocation;server resources;user-level resource management layer;latency-critical workload;best-effort workloads;BE runtime;LC runtime implements user-level thread management;server utlization","","","","","","","","IEEE","IEEE Conferences"
"A Queueing Analysis of the Opportunistic Vehicle-to-Vehicle Communication","W. Xu; S. Guo; H. Zhou; S. Ma; M. Wu","The Hong Kong Polytechnic University; The Hong Kong Polytechnic University; Nanjing University; The Hong Kong Polytechnic University; The Hong Kong Polytechnic University","2019 IEEE Global Communications Conference (GLOBECOM)","","2019","","","1","6","","","","10.1109/GLOBECOM38437.2019.9014170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/9014170","","Task analysis;Vehicular ad hoc networks;Data models;Queueing analysis;Delays;Servers;Analytical models","","","","","","","","","","IEEE","IEEE Conferences"
"A Logic Pattern of Agents with Emotional Attitudes","C. Liu; Z. Zhang; Y. Yao; Y. Xu","Nanjing University; Nanjing University; Nanjing University; Nanjing University","2019 6th International Conference on Dependable Systems and Their Applications (DSA)","","2020","","","304","310","","","","10.1109/DSA.2019.00046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/9045839","emotional attitudes;RDEU theory;logic pattern","","","","","","","","","","","IEEE","IEEE Conferences"
"Secure Beamforming Design for MISO SWIPT Systems: An Indirectly Optimized Approach","Y. Yu; S. Wang; S. Liu; L. Guo; Z. Ning; S. Gong; M. S. Obaidat","Northeastern University; Northeastern University; Northeastern University; Chongqing University of Posts and Telecommunications; Nanjing University; Sun Yat-sen University; Nazarbayev University","2019 IEEE Global Communications Conference (GLOBECOM)","","2019","","","1","6","","","","10.1109/GLOBECOM38437.2019.9013770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/9013770","","Receivers;Interference;Signal to noise ratio;Transmitters;Optimization;Security;Communication system security","","","","","","","","","","IEEE","IEEE Conferences"
"Improve Downlink Rates of FDD Massive MIMO Systems by Exploiting CSI Feedback Waiting Phase","Z. Tao; T. Wang; S. Wang","Nanjing University; Nanjing University; Nanjing University","2019 IEEE Global Communications Conference (GLOBECOM)","","2019","","","1","6","","","","10.1109/GLOBECOM38437.2019.9014265","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/9014265","","Downlink;MIMO communication;Precoding;Uplink;Training;Mobile communication;Interference","","","","","","","","","","IEEE","IEEE Conferences"
"Providing bandwidth guarantees, work conservation and low latency simultaneously in the cloud","S. Hu; W. Bai; K. Chen; C. Tian; Y. Zhang; H. Wu","SING Group @ HKUST; SING Group @ HKUST; SING Group @ HKUST; Nanjing University; HP Labs; Microsoft","IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications","","2016","","","1","9","","","","10.1109/INFOCOM.2016.7524341","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/7524341","","Bandwidth;Probes;Hardware;Delays;Interference;Control systems;Servers","bandwidth allocation;cloud computing;computer centres","bandwidth guarantees;work conservation;low latency;cloud;multi-tenant datacenter network infrastructure;throughput-intensive applications;latency-sensitive short messages;Trinity","","16","","","","","","IEEE","IEEE Conferences"
"Understanding Exception-Related Bugs in Large-Scale Cloud Systems","H. Chen; W. Dou; Y. Jiang; F. Qin","The Ohio State University; Chinese Academy of Sciences; Nanjing University; The Ohio State University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","339","351","","","","10.1109/ASE.2019.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8952179","exception handling;cloud system;empirical study","","cloud computing;error handling;program debugging;program diagnostics;public domain software","exception-related bugs;large-scale cloud systems;exception mechanism;system downtime;eBugs;DIET;static analysis tool;error handling code","","1","","","","","","IEEE","IEEE Conferences"
"Learned Quality Enhancement via Multi-Frame Priors for HEVC Compliant Low-Delay Applications","M. Lu; M. Cheng; Y. Xu; S. Pu; Q. Shen; Z. Ma","Nanjing University; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Hikvision Research Institute; Nanjing University; Nanjing University","2019 IEEE International Conference on Image Processing (ICIP)","","2019","","","934","938","","","","10.1109/ICIP.2019.8803049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8803049","Video quality enhancement;multi-scale spatial priors;multi-frame temporal priors;post-processing;HEVC","Convolutional codes;Xenon;Gain;Training;Optical fiber networks;Cats;Visualization","convolutional neural nets;data compression;learning (artificial intelligence);video coding","multiframe priors;HEVC compliant low-delay applications;video conferencing;visual quality;unexpected network fluctuation;limited bandwidth;Quality Enhancement Network;QENet;video compression artifacts;spatial priors;temporal priors;respective multiscale convolutions;temporal predictions;stand-alone post-processing subsystem;deep learning;high-efficiency video coding compliant decoder","","","","","","","","IEEE","IEEE Conferences"
