"Innovation + Equality: How to Create a Future That Is More Star Trek Than Terminator","J. Gans; A. Leigh; L. H. Summers","University of Toronto; ; Harvard University","Innovation + Equality: How to Create a Future That Is More Star Trek Than Terminator","","","","","1","5","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8896803","","","","","","","","","","","","MIT Press","IEEE Conferences"
"Computer security when data = life","J. Camp","Harvard University","Proceedings 2000 IEEE EMBS International Conference on Information Technology Applications in Biomedicine. ITAB-ITIS 2000. Joint Meeting Third IEEE EMBS International Conference on Information Technol","","2000","","","3","3","","","","10.1109/ITAB.2000.892337","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/892337","","Computer security;Information security;Medical services;Government;USA Councils;National security;Defense industry;Finance;Consumer electronics;Multidimensional systems","","","","","","","","","","IEEE","IEEE Conferences"
"How Mediated Immersion Shapes Learning","C. Dede","Harvard University","IEEE Virtual Reality Conference (VR 2006)","","2006","","","xiii","xiii","","","","10.1109/VR.2006.73","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/1667619","","","","","","","","","","","","IEEE","IEEE Conferences"
"A Principles-Based Approach to Govern the IoT Ecosystem","V. A. Almeida; B. Goh; D. Doneda","Harvard University; Harvard University; Rio de Janeiro State University","IEEE Internet Computing","","2017","21","4","78","81","","","","10.1109/MIC.2017.2911433","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/7994547","Internet/Web technologies;Internet governance;Internet of Things;IoT","Computer security;Ecosystems;Privacy;Safety;Government;Internet of Things","DP industry;government data processing;Internet of Things;organisational aspects;security of data","IoT ecosystem;Internet of Things ecosystem;IoT governance models;principles formulation","","1","","","","","","IEEE","IEEE Conferences"
"Designing an Evaluation of an Interactive Multimedia Program: Assess MIT'S EDICS Program","D. Crismond; D. Wilson","Harvard University; ","Proceedings. Twenty-Second Annual conference Frontiers in Education","","1992","","","656","661","","","","10.1109/FIE.1992.683482","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/683482","","","","","","","","","","","","IEEE","IEEE Conferences"
"FlexGibbs: Reconfigurable Parallel Gibbs Sampling Accelerator for Structured Graphs","G. G. Ko; Y. Chai; R. A. Rutenbar; D. Brooks; G. Wei","Harvard University; University of Illinois at Urbana-Champaign; University of Pittsburgh; Harvard University; Harvard University","2019 IEEE 27th Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM)","","2019","","","334","334","","","","10.1109/FCCM.2019.00075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8735578","Bayesian inference;Gibbs sampling;Markov random field;hardware accelerator;probabilistic graphical model","Bayes methods;Markov processes;Source separation;Hardware;Acceleration;Deep learning","field programmable gate arrays;graph theory;graphics processing units;linear algebra;Markov processes;processor scheduling;random processes;system-on-chip;unsupervised learning","FlexGibbs;structured graphs;deep learning;linear algebra kernels;optimal architecture;unsupervised learning methods;probabilistic models;Bayesian inference;reconfigurable parallel Gibbs sampling inference accelerator;parallel Gibbs samplers;GPUs;unsupervised learning method;Bayesian models;parameterized components;Markov random field tasks;chromatic scheduling;sound source separation application;FPGA fabric;Xilinx Zync CPU-FPGA SoC;ARM Cortex-A53","","1","","","","","","IEEE","IEEE Conferences"
"Modality-Specific Deterioration in Naming Verbs in Nonfluent Primary Progressive Aphasia","A. E. Hillis; E. Tuffiash; A. Caramazza","Johns Hopkins University; Johns Hopkins University; Harvard University","Journal of Cognitive Neuroscience","","2002","14","7","1099","1108","","","","10.1162/089892902320474544","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/6789720","","","","","","","","","","","","MITP","IEEE Conferences"
"What's needed to build team players? (Extended abstract for an invited talk)","B. Grosz","Harvard University","Proceedings Fourth International Conference on MultiAgent Systems","","2000","","","3","4","","","","10.1109/ICMAS.2000.858424","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/858424","","Collaboration;Computer networks;Collaborative work;Software agents;Decision making;Distributed computing;Application software;Electrical capacitance tomography;Collaborative software;Multiagent systems","","","","","","","","","","IEEE","IEEE Conferences"
"Toward Real-Time Image Guided Neurosurgery Using Distributed and Grid Computing","N. Chrisochoides; A. Fedorov; A. Kot; N. Archip; P. Black; O. Clatz; A. Golby; R. Kikinis; S. K. Warfield","College of William and Mary, VA; College of William and Mary, VA; College of William and Mary, VA; Harvard University; Harvard University; Harvard University; Harvard University; Harvard University; Harvard University","SC '06: Proceedings of the 2006 ACM/IEEE Conference on Supercomputing","","2006","","","37","37","","","","10.1109/SC.2006.65","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/4090211","","Neurosurgery;Grid computing;Magnetic resonance imaging;Distributed computing;Neoplasms;Decision making;Image registration;Computational efficiency;Rendering (computer graphics);Delay","biomedical MRI;brain;grid computing;image registration;medical image processing;neurophysiology;surgery;tumours","real-time image guided neurosurgery;distributed computing;grid computing;neurosurgical resection;brain tumor;magnetic resonance imaging;MRI;decision making;image registration;volume tracking;medical imaging","","25","","","","","","IEEE","IEEE Conferences"
"A Black-box Method for Accelerating Measurement Algorithms with Accuracy Guarantees","R. B. Basat; G. Einziger; M. C. Luizelli; E. Waisbard","Harvard University; Ben Gurion University; Federal University of Pampa; Nokia Bell Labs","2019 IFIP Networking Conference (IFIP Networking)","","2019","","","1","9","","","","10.23919/IFIPNetworking.2019.8816858","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8816858","heavy hitters;frequency estimation;network measurement;NFV;OVS;high-performance","","computer networks;switching networks","black-box method;load balancing;traffic engineering;quality of service;per-flow frequency estimation;bandwidth estimation;NFV measurement techniques;library algorithms;throughput acceleration method;network function virtualization;network measurement algorithms;counting distinct elements;traffic entropy estimation;DPDK;Open vSwitch implementation","","","","","","","","IEEE","IEEE Conferences"
